,mon,osd,driver,worker,read,write,container,object,size,throughput-read
1mon30osd_2driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151123044130,1,30,2,4,25,75,16,4096,0,20.7425
1mon6osd_1driver_25read75write0delete_1worker_16container_4096object_512KB_180sec_20151124082724,1,6,1,1,25,75,16,4096,0,7.343055555555556
1mon10osd_2driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151123205818,1,10,2,4,50,50,16,4096,0,58.94472222222222
1mon6osd_1driver_0read100write0delete_1worker_16container_4096object_512KB_180sec_20151124083630,1,6,1,1,0,100,16,4096,0,0.0
1mon30osd_2driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151123042545,1,30,2,4,90,10,16,4096,0,149.9475
1mon10osd_2driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151123210313,1,10,2,4,25,75,16,4096,0,22.885833333333338
1mon30osd_2driver_90read10write0delete_2worker_16container_4096object_512KB_180sec_20151123034912,1,30,2,2,90,10,16,4096,0,70.13416666666666
1mon4osd_4driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151124195144,1,4,4,4,25,75,16,4096,0,19.224166666666665
1mon4osd_2driver_0read100write0delete_2worker_16container_4096object_512KB_180sec_20151124174849,1,4,2,2,0,100,16,4096,0,0.0
1mon30osd_4driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151123074800,1,30,4,16,50,50,16,4096,0,74.36083333333333
1mon8osd_1driver_10read90write0delete_1worker_16container_4096object_512KB_180sec_20151124012640,1,8,1,1,10,90,16,4096,0,3.207777777777778
1mon8osd_2driver_75read25write0delete_2worker_16container_4096object_512KB_180sec_20151124032400,1,8,2,2,75,25,16,4096,0,70.79083333333334
1mon10osd_2driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151123205332,1,10,2,4,75,25,16,4096,0,128.67472222222221
1mon20osd_2driver_0read100write0delete_2worker_16container_4096object_512KB_180sec_20151123120048,1,20,2,2,0,100,16,4096,0,0.0
1mon6osd_2driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151124114350,1,6,2,8,25,75,16,4096,0,24.00166666666667
1mon20osd_2driver_100read0write0delete_16worker_16container_4096object_512KB_180sec_20151123131639,1,20,2,16,100,0,16,4096,0,384.46166666666676
1mon10osd_1driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151123185412,1,10,1,2,10,90,16,4096,0,5.381944444444445
1mon20osd_2driver_25read75write0delete_2worker_16container_4096object_512KB_180sec_20151123115053,1,20,2,2,25,75,16,4096,0,11.9425
1mon20osd_1driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151123110509,1,20,1,8,75,25,16,4096,0,132.0935135135135
1mon30osd_1driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151123031135,1,30,1,8,90,10,16,4096,0,194.76611111111114
1mon20osd_4driver_50read50write0delete_32worker_16container_4096object_512KB_180sec_20151123155846,1,20,4,32,50,50,16,4096,0,77.01027777777777
1mon4osd_1driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151124170539,1,4,1,8,25,75,16,4096,0,22.165277777777778
1mon10osd_2driver_100read0write0delete_2worker_16container_4096object_512KB_180sec_20151123201108,1,10,2,2,100,0,16,4096,0,149.51666666666665
1mon20osd_2driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151123123539,1,20,2,4,0,100,16,4096,0,0.0
1mon4osd_4driver_90read10write0delete_16worker_16container_4096object_512KB_180sec_20151124204425,1,4,4,16,90,10,16,4096,0,255.61944444444447
1mon4osd_4driver_25read75write0delete_32worker_16container_4096object_512KB_180sec_20151124213252,1,4,4,32,25,75,16,4096,0,22.932222222222222
1mon8osd_1driver_50read50write0delete_1worker_16container_4096object_512KB_180sec_20151124011730,1,8,1,1,50,50,16,4096,0,16.634999999999998
1mon10osd_4driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151123224104,1,10,4,4,50,50,16,4096,0,58.09305555555555
1mon4osd_4driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151124201532,1,4,4,8,75,25,16,4096,0,114.25
1mon10osd_4driver_25read75write0delete_32worker_16container_4096object_512KB_180sec_20151124003026,1,10,4,32,25,75,16,4096,0,24.1845945945946
1mon30osd_2driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151123040952,1,30,2,2,10,90,16,4096,0,4.650833333333333
1mon30osd_4driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151123070925,1,30,4,8,50,50,16,4096,0,72.60861111111109
1mon4osd_4driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151124193748,1,4,4,4,90,10,16,4096,0,98.73055555555555
1mon8osd_4driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151124055819,1,8,4,4,0,100,16,4096,0,0.0
1mon20osd_2driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151123124542,1,20,2,8,90,10,16,4096,0,223.1151351351351
1mon4osd_2driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151124183515,1,4,2,8,75,25,16,4096,0,114.56444444444443
1mon4osd_4driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151124194222,1,4,4,4,75,25,16,4096,0,68.50972222222222
1mon10osd_1driver_0read100write0delete_2worker_16container_4096object_512KB_180sec_20151123185859,1,10,1,2,0,100,16,4096,0,0.0
1mon20osd_2driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151123124047,1,20,2,8,100,0,16,4096,0,259.8202777777778
1mon30osd_4driver_25read75write0delete_32worker_16container_4096object_512KB_180sec_20151123083209,1,30,4,32,25,75,16,4096,0,24.78361111111111
1mon10osd_2driver_0read100write0delete_2worker_16container_4096object_512KB_180sec_20151123203918,1,10,2,2,0,100,16,4096,0,0.0
1mon6osd_2driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151124113859,1,6,2,8,50,50,16,4096,0,72.21777777777778
1mon20osd_2driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151123121532,1,20,2,4,75,25,16,4096,0,90.39972222222224
1mon10osd_2driver_50read50write0delete_2worker_16container_4096object_512KB_180sec_20151123202502,1,10,2,2,50,50,16,4096,0,37.976388888888884
1mon4osd_4driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151124203002,1,4,4,8,10,90,16,4096,0,7.516388888888888
1mon30osd_2driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151123055138,1,30,2,16,50,50,16,4096,0,76.62277777777778
1mon4osd_2driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151124180233,1,4,2,4,75,25,16,4096,0,71.19250000000001
1mon8osd_1driver_75read25write0delete_2worker_16container_4096object_512KB_180sec_20151124014456,1,8,1,2,75,25,16,4096,0,54.6025
1mon4osd_2driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151124175333,1,4,2,4,100,0,16,4096,0,142.17499999999998
1mon10osd_2driver_90read10write0delete_2worker_16container_4096object_512KB_180sec_20151123201545,1,10,2,2,90,10,16,4096,0,116.06333333333335
1mon6osd_4driver_25read75write0delete_32worker_16container_4096object_512KB_180sec_20151124143420,1,6,4,32,25,75,16,4096,0,26.14138888888889
1mon8osd_4driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151124065448,1,8,4,16,50,50,16,4096,0,75.815
1mon30osd_1driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151123021915,1,30,1,2,10,90,16,4096,0,4.811388888888888
1mon20osd_1driver_90read10write0delete_2worker_16container_4096object_512KB_180sec_20151123095028,1,20,1,2,90,10,16,4096,0,48.124722222222225
1mon8osd_1driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151124030950,1,8,1,8,0,100,16,4096,0,0.0
1mon20osd_4driver_75read25write0delete_16worker_16container_4096object_512KB_180sec_20151123151611,1,20,4,16,75,25,16,4096,0,218.26638888888886
1mon20osd_1driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151123105959,1,20,1,8,90,10,16,4096,0,175.30555555555554
1mon20osd_1driver_100read0write0delete_2worker_16container_4096object_512KB_180sec_20151123094529,1,20,1,2,100,0,16,4096,0,52.781388888888884
1mon10osd_4driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151123223127,1,10,4,4,90,10,16,4096,0,236.55583333333328
1mon30osd_1driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151123032210,1,30,1,8,50,50,16,4096,0,66.83351351351352
1mon20osd_1driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151123104452,1,20,1,4,10,90,16,4096,0,7.131388888888889
1mon6osd_2driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151124110059,1,6,2,4,75,25,16,4096,0,102.35722222222222
1mon20osd_2driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151123125552,1,20,2,8,50,50,16,4096,0,69.56361111111111
1mon30osd_2driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151123045212,1,30,2,4,0,100,16,4096,0,0.0
1mon6osd_2driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151124104223,1,6,2,2,10,90,16,4096,0,5.518611111111111
1mon4osd_1driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151124171139,1,4,1,8,10,90,16,4096,0,7.46638888888889
1mon30osd_4driver_10read90write0delete_16worker_16container_4096object_512KB_180sec_20151123075858,1,30,4,16,10,90,16,4096,0,8.509722222222223
1mon20osd_2driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151123130100,1,20,2,8,25,75,16,4096,0,25.727222222222224
1mon20osd_4driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151123142859,1,20,4,8,100,0,16,4096,0,354.57648648648643
1mon30osd_4driver_50read50write0delete_32worker_16container_4096object_512KB_180sec_20151123082637,1,30,4,32,50,50,16,4096,0,72.50378378378377
1mon8osd_2driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151124043523,1,8,2,8,50,50,16,4096,0,79.28
1mon10osd_1driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151123191740,1,10,1,4,50,50,16,4096,0,53.5536111111111
1mon30osd_2driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151123044652,1,30,2,4,10,90,16,4096,0,7.183888888888889
1mon8osd_4driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151124061240,1,8,4,8,75,25,16,4096,0,209.2088888888889
1mon8osd_2driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151124052405,1,8,2,16,0,100,16,4096,0,0.0
1mon8osd_1driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151124015841,1,8,1,2,10,90,16,4096,0,5.188888888888887
1mon4osd_1driver_100read0write0delete_1worker_16container_4096object_512KB_180sec_20151124151038,1,4,1,1,100,0,16,4096,0,29.64916666666667
1mon10osd_1driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151123192227,1,10,1,4,25,75,16,4096,0,21.951944444444443
1mon8osd_2driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151124035652,1,8,2,4,75,25,16,4096,0,121.69999999999999
1mon20osd_1driver_10read90write0delete_2worker_16container_4096object_512KB_180sec_20151123100956,1,20,1,2,10,90,16,4096,0,4.664444444444445
1mon6osd_2driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151124110538,1,6,2,4,50,50,16,4096,0,52.68583333333333
1mon4osd_1driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151124164630,1,4,1,8,100,0,16,4096,0,210.4802777777778
1mon20osd_1driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151123102950,1,20,1,4,75,25,16,4096,0,72.83333333333333
1mon10osd_2driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151123204845,1,10,2,4,90,10,16,4096,0,211.24416666666667
1mon4osd_1driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151124162732,1,4,1,4,50,50,16,4096,0,41.81333333333333
1mon10osd_2driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151123220638,1,10,2,16,50,50,16,4096,0,76.82083333333334
1mon20osd_4driver_90read10write0delete_16worker_16container_4096object_512KB_180sec_20151123151054,1,20,4,16,90,10,16,4096,0,391.5013513513513
1mon30osd_1driver_10read90write0delete_1worker_16container_4096object_512KB_180sec_20151123014309,1,30,1,1,10,90,16,4096,0,3.0222222222222226
1mon4osd_1driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151124165100,1,4,1,8,90,10,16,4096,0,151.26305555555555
1mon8osd_1driver_0read100write0delete_1worker_16container_4096object_512KB_180sec_20151124013113,1,8,1,1,0,100,16,4096,0,0.0
1mon20osd_1driver_0read100write0delete_1worker_16container_4096object_512KB_180sec_20151123094030,1,20,1,1,0,100,16,4096,0,0.0
1mon8osd_2driver_25read75write0delete_4worker_16container_4096object_512KB_180sec_20151124040628,1,8,2,4,25,75,16,4096,0,23.535
1mon6osd_4driver_50read50write0delete_4worker_16container_4096object_512KB_180sec_20151124124716,1,6,4,4,50,50,16,4096,0,55.15111111111111
1mon10osd_1driver_90read10write0delete_1worker_16container_4096object_512KB_180sec_20151123180330,1,10,1,1,90,10,16,4096,0,36.871388888888895
1mon10osd_2driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151123204409,1,10,2,4,100,0,16,4096,0,275.4175
1mon10osd_2driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151123214710,1,10,2,8,0,100,16,4096,0,0.0
1mon30osd_4driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151123061356,1,30,4,4,100,0,16,4096,0,218.19416666666663
1mon4osd_2driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151124185430,1,4,2,8,0,100,16,4096,0,0.0
1mon8osd_4driver_90read10write0delete_32worker_16container_4096object_512KB_180sec_20151124071948,1,8,4,32,90,10,16,4096,0,602.7170270270271
1mon4osd_1driver_10read90write0delete_1worker_16container_4096object_512KB_180sec_20151124153305,1,4,1,1,10,90,16,4096,0,3.3402777777777772
1mon20osd_2driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151123123033,1,20,2,4,10,90,16,4096,0,7.023055555555555
1mon20osd_2driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151123134735,1,20,2,16,0,100,16,4096,0,0.0
1mon20osd_2driver_100read0write0delete_2worker_16container_4096object_512KB_180sec_20151123113113,1,20,2,2,100,0,16,4096,0,79.12777777777778
1mon8osd_2driver_25read75write0delete_16worker_16container_4096object_512KB_180sec_20151124051408,1,8,2,16,25,75,16,4096,0,26.993783783783783
1mon8osd_4driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151124063240,1,8,4,8,0,100,16,4096,0,0.0
1mon10osd_2driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151123212723,1,10,2,8,75,25,16,4096,0,190.9275
1mon4osd_2driver_100read0write0delete_2worker_16container_4096object_512KB_180sec_20151124172129,1,4,2,2,100,0,16,4096,0,71.89750000000001
1mon4osd_1driver_0read100write0delete_1worker_16container_4096object_512KB_180sec_20151124153737,1,4,1,1,0,100,16,4096,0,0.0
1mon6osd_4driver_10read90write0delete_16worker_16container_4096object_512KB_180sec_20151124140500,1,6,4,16,10,90,16,4096,0,8.584444444444445
1mon8osd_1driver_50read50write0delete_2worker_16container_4096object_512KB_180sec_20151124014927,1,8,1,2,50,50,16,4096,0,30.574444444444445
1mon6osd_2driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151124121259,1,6,2,16,50,50,16,4096,0,74.36083333333333
1mon10osd_4driver_90read10write0delete_32worker_16container_4096object_512KB_180sec_20151124001511,1,10,4,32,90,10,16,4096,0,638.6872222222223
1mon20osd_1driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151123104955,1,20,1,4,0,100,16,4096,0,0.0
1mon6osd_2driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151124114858,1,6,2,8,10,90,16,4096,0,8.728055555555555
1mon8osd_4driver_0read100write0delete_32worker_16container_4096object_512KB_180sec_20151124074512,1,8,4,32,0,100,16,4096,0,0.0
1mon30osd_1driver_75read25write0delete_8worker_16container_4096object_512KB_180sec_20151123031652,1,30,1,8,75,25,16,4096,0,145.5825
1mon10osd_1driver_90read10write0delete_2worker_16container_4096object_512KB_180sec_20151123183538,1,10,1,2,90,10,16,4096,0,72.37083333333334
1mon4osd_2driver_25read75write0delete_2worker_16container_4096object_512KB_180sec_20151124173931,1,4,2,2,25,75,16,4096,0,11.65361111111111
1mon8osd_2driver_10read90write0delete_16worker_16container_4096object_512KB_180sec_20151124051907,1,8,2,16,10,90,16,4096,0,8.708648648648651
1mon10osd_4driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151123233021,1,10,4,8,0,100,16,4096,0,0.0
1mon6osd_2driver_25read75write0delete_2worker_16container_4096object_512KB_180sec_20151124103745,1,6,2,2,25,75,16,4096,0,13.133611111111112
1mon10osd_4driver_75read25write0delete_16worker_16container_4096object_512KB_180sec_20151123234514,1,10,4,16,75,25,16,4096,0,228.3988888888889
1mon30osd_4driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151123065830,1,30,4,8,90,10,16,4096,0,284.3252777777777
1mon4osd_4driver_100read0write0delete_16worker_16container_4096object_512KB_180sec_20151124203954,1,4,4,16,100,0,16,4096,0,372.71111111111105
1mon6osd_2driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151124105152,1,6,2,4,100,0,16,4096,0,202.56444444444446
1mon10osd_4driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151123230055,1,10,4,8,100,0,16,4096,0,554.1952777777777
1mon8osd_1driver_90read10write0delete_4worker_16container_4096object_512KB_180sec_20151124021244,1,8,1,4,90,10,16,4096,0,148.1025
1mon4osd_1driver_25read75write0delete_2worker_16container_4096object_512KB_180sec_20151124160004,1,4,1,2,25,75,16,4096,0,12.366944444444446
1mon30osd_1driver_100read0write0delete_1worker_16container_4096object_512KB_180sec_20151123011618,1,30,1,1,100,0,16,4096,0,8.058055555555557
1mon20osd_4driver_75read25write0delete_32worker_16container_4096object_512KB_180sec_20151123155322,1,20,4,32,75,25,16,4096,0,225.82166666666663
1mon30osd_4driver_100read0write0delete_32worker_16container_4096object_512KB_180sec_20151123081006,1,30,4,32,100,0,16,4096,0,856.3972222222221
1mon30osd_2driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151123060801,1,30,2,16,0,100,16,4096,0,0.0
1mon20osd_4driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151123153733,1,20,4,16,0,100,16,4096,0,0.0
1mon4osd_4driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151124203500,1,4,4,8,0,100,16,4096,0,0.0
1mon8osd_4driver_90read10write0delete_16worker_16container_4096object_512KB_180sec_20151124064310,1,8,4,16,90,10,16,4096,0,517.7513888888891
1mon30osd_4driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151123071459,1,30,4,8,25,75,16,4096,0,25.350555555555555
1mon20osd_2driver_50read50write0delete_16worker_16container_4096object_512KB_180sec_20151123133157,1,20,2,16,50,50,16,4096,0,73.73405405405404
1mon6osd_1driver_90read10write0delete_1worker_16container_4096object_512KB_180sec_20151124081355,1,6,1,1,90,10,16,4096,0,32.995555555555555
1mon4osd_2driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151124184938,1,4,2,8,10,90,16,4096,0,7.578888888888888
1mon6osd_1driver_0read100write0delete_2worker_16container_4096object_512KB_180sec_20151124090834,1,6,1,2,0,100,16,4096,0,0.0
1mon10osd_4driver_100read0write0delete_32worker_16container_4096object_512KB_180sec_20151124001025,1,10,4,32,100,0,16,4096,0,1128.4533333333331
1mon20osd_4driver_100read0write0delete_16worker_16container_4096object_512KB_180sec_20151123150555,1,20,4,16,100,0,16,4096,0,469.52621621621626
1mon4osd_1driver_75read25write0delete_1worker_16container_4096object_512KB_180sec_20151124151937,1,4,1,1,75,25,16,4096,0,22.676111111111105
1mon10osd_1driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151123193709,1,10,1,8,100,0,16,4096,0,284.5277777777777
1mon4osd_4driver_10read90write0delete_32worker_16container_4096object_512KB_180sec_20151124213747,1,4,4,32,10,90,16,4096,0,7.72945945945946
1mon30osd_4driver_0read100write0delete_32worker_16container_4096object_512KB_180sec_20151123084303,1,30,4,32,0,100,16,4096,0,0.0
1mon4osd_1driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151124161359,1,4,1,4,100,0,16,4096,0,122.21444444444445
1mon4osd_2driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151124183042,1,4,2,8,90,10,16,4096,0,165.58305555555555
1mon6osd_2driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151124112008,1,6,2,4,0,100,16,4096,0,0.0
1mon20osd_4driver_50read50write0delete_8worker_16container_4096object_512KB_180sec_20151123144431,1,20,4,8,50,50,16,4096,0,74.75216216216218
1mon8osd_1driver_0read100write0delete_4worker_16container_4096object_512KB_180sec_20151124023617,1,8,1,4,0,100,16,4096,0,0.0
1mon20osd_1driver_75read25write0delete_1worker_16container_4096object_512KB_180sec_20151123092103,1,20,1,1,75,25,16,4096,0,19.872777777777777
1mon10osd_2driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151123213721,1,10,2,8,25,75,16,4096,0,25.46111111111111
1mon10osd_4driver_10read90write0delete_4worker_16container_4096object_512KB_180sec_20151123225055,1,10,4,4,10,90,16,4096,0,7.4624999999999995
1mon8osd_2driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151124042548,1,8,2,8,90,10,16,4096,0,312.2997222222223
1mon20osd_1driver_25read75write0delete_8worker_16container_4096object_512KB_180sec_20151123111525,1,20,1,8,25,75,16,4096,0,24.58675675675676
1mon30osd_1driver_10read90write0delete_8worker_16container_4096object_512KB_180sec_20151123033301,1,30,1,8,10,90,16,4096,0,8.245277777777778
1mon4osd_2driver_25read75write0delete_16worker_16container_4096object_512KB_180sec_20151124191814,1,4,2,16,25,75,16,4096,0,22.651944444444446
1mon20osd_1driver_90read10write0delete_1worker_16container_4096object_512KB_180sec_20151123091611,1,20,1,1,90,10,16,4096,0,22.580555555555556
1mon30osd_4driver_100read0write0delete_8worker_16container_4096object_512KB_180sec_20151123065253,1,30,4,8,100,0,16,4096,0,316.2225
1mon4osd_4driver_90read10write0delete_8worker_16container_4096object_512KB_180sec_20151124201055,1,4,4,8,90,10,16,4096,0,166.0894444444444
1mon4osd_4driver_25read75write0delete_16worker_16container_4096object_512KB_180sec_20151124205853,1,4,4,16,25,75,16,4096,0,23.02111111111111
1mon30osd_4driver_0read100write0delete_16worker_16container_4096object_512KB_180sec_20151123080427,1,30,4,16,0,100,16,4096,0,0.0
1mon4osd_1driver_90read10write0delete_2worker_16container_4096object_512KB_180sec_20151124154638,1,4,1,2,90,10,16,4096,0,52.13
1mon30osd_2driver_50read50write0delete_2worker_16container_4096object_512KB_180sec_20151123035926,1,30,2,2,50,50,16,4096,0,29.528888888888883
1mon10osd_4driver_75read25write0delete_4worker_16container_4096object_512KB_180sec_20151123223613,1,10,4,4,75,25,16,4096,0,134.35500000000002
1mon30osd_1driver_100read0write0delete_4worker_16container_4096object_512KB_180sec_20151123022947,1,30,1,4,100,0,16,4096,0,103.00555555555555
1mon20osd_4driver_0read100write0delete_8worker_16container_4096object_512KB_180sec_20151123150033,1,20,4,8,0,100,16,4096,0,0.0
1mon10osd_2driver_25read75write0delete_16worker_16container_4096object_512KB_180sec_20151123221133,1,10,2,16,25,75,16,4096,0,25.144444444444442
